rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,fold,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,entropy,3,0.8,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
50,10,5,2,entropy,3,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
50,10,5,2,entropy,4,0.1,0.7796610169491526,0.4090909090909091,1.0,0.5806451612903226,0.5502065727772368
50,10,5,2,entropy,4,0.2,0.8305084745762712,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5627756785465442
50,10,5,2,entropy,4,0.30000000000000004,0.8813559322033898,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.649829715857926
50,10,5,2,entropy,4,0.4,0.9322033898305084,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7377777777777778
50,10,5,2,entropy,4,0.5,0.9491525423728814,0.875,0.7777777777777778,0.8235294117647058,0.7958258477559189
50,10,5,2,entropy,4,0.6,0.9491525423728814,0.875,0.7777777777777778,0.8235294117647058,0.7958258477559189
50,10,5,2,entropy,4,0.7000000000000001,0.9152542372881356,1.0,0.4444444444444444,0.6153846153846154,0.6356417261637282
50,10,5,2,entropy,4,0.8,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
50,10,5,2,entropy,4,0.9,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
50,10,5,2,entropy,5,0.1,0.6610169491525424,0.2857142857142857,1.0,0.4444444444444444,0.41673668879415315
50,10,5,2,entropy,5,0.2,0.8305084745762712,0.4444444444444444,1.0,0.6153846153846154,0.5977444896822837
50,10,5,2,entropy,5,0.30000000000000004,0.8813559322033898,0.5384615384615384,0.875,0.6666666666666666,0.6255727259806424
50,10,5,2,entropy,5,0.4,0.9152542372881356,0.6363636363636364,0.875,0.7368421052631579,0.7002229135349218
50,10,5,2,entropy,5,0.5,0.9491525423728814,0.7777777777777778,0.875,0.8235294117647058,0.7958258477559189
50,10,5,2,entropy,5,0.6,0.9491525423728814,0.8571428571428571,0.75,0.8,0.7732777082878342
50,10,5,2,entropy,5,0.7000000000000001,0.9661016949152542,1.0,0.75,0.8571428571428571,0.8495281709322812
50,10,5,2,entropy,5,0.8,0.9491525423728814,1.0,0.625,0.7692307692307693,0.768295371441074
