threshold,max_depth,min_samples_split,min_samples_leaf,criterion,max_features,accuracy,precision,recall,f1,mcc
0.9,30,10,5,gini,sqrt,,,,,0.553519246704903
0.1,30,5,2,gini,log2,,,,,0.17333226574576233
0.2,30,5,2,gini,log2,,,,,0.2820241414829501
0.30000000000000004,30,5,2,gini,log2,,,,,0.29977208833154523
0.4,30,5,2,gini,log2,,,,,0.4306384581906218
0.5,30,5,2,gini,log2,,,,,0.5061975535013635
0.6,30,5,2,gini,log2,,,,,0.5198903422385053
0.7000000000000001,30,5,2,gini,log2,,,,,0.5329028635186368
0.8,30,5,2,gini,log2,,,,,0.4229439649940348
0.9,30,5,2,gini,log2,,,,,0.4229439649940348
0.1,30,10,2,gini,log2,,,,,0.17269014175516523
0.2,30,10,2,gini,log2,,,,,0.3020243090919048
0.30000000000000004,30,10,2,gini,log2,,,,,0.2798206861736406
0.4,30,10,2,gini,log2,,,,,0.4147820060520453
0.5,30,10,2,gini,log2,,,,,0.46834692221264823
0.6,30,10,2,gini,log2,,,,,0.4913440006237854
0.7000000000000001,30,10,2,gini,log2,,,,,0.5310458079273906
0.8,30,10,2,gini,log2,,,,,0.5472934016850655
0.9,30,10,2,gini,log2,,,,,0.5114579040910668
0.1,30,5,5,gini,log2,,,,,0.2071375833421413
0.2,30,5,5,gini,log2,,,,,0.35904642843262136
0.30000000000000004,30,5,5,gini,log2,,,,,0.41052773000774606
0.4,30,5,5,gini,log2,,,,,0.41052773000774606
0.5,30,5,5,gini,log2,,,,,0.43296385744031207
0.6,30,5,5,gini,log2,,,,,0.40958890308547247
0.7000000000000001,30,5,5,gini,log2,,,,,0.4264583384021128
0.8,30,5,5,gini,log2,,,,,0.3476973270609364
0.9,30,5,5,gini,log2,,,,,0.3394085145499455
0.1,30,10,5,gini,log2,,,,,0.2071375833421413
0.2,30,10,5,gini,log2,,,,,0.35904642843262136
0.30000000000000004,30,10,5,gini,log2,,,,,0.41052773000774606
0.4,30,10,5,gini,log2,,,,,0.41052773000774606
0.5,30,10,5,gini,log2,,,,,0.43296385744031207
0.6,30,10,5,gini,log2,,,,,0.40958890308547247
0.7000000000000001,30,10,5,gini,log2,,,,,0.4264583384021128
0.8,30,10,5,gini,log2,,,,,0.3476973270609364
0.9,30,10,5,gini,log2,,,,,0.3394085145499455
0.1,10,5,2,entropy,,,,,,0.8242053950865269
0.2,10,5,2,entropy,,,,,,0.8242053950865269
0.30000000000000004,10,5,2,entropy,,,,,,0.8242053950865269
0.4,10,5,2,entropy,,,,,,0.8242053950865269
0.5,10,5,2,entropy,,,,,,0.8242053950865269
0.6,10,5,2,entropy,,,,,,0.8193325802655119
0.7000000000000001,10,5,2,entropy,,,,,,0.8270057416625336
0.8,10,5,2,entropy,,,,,,0.8270057416625336
0.9,10,5,2,entropy,,,,,,0.8270057416625336
0.1,10,10,2,entropy,,,,,,0.8242053950865269
0.2,10,10,2,entropy,,,,,,0.8242053950865269
0.30000000000000004,10,10,2,entropy,,,,,,0.8242053950865269
0.4,10,10,2,entropy,,,,,,0.8242053950865269
0.5,10,10,2,entropy,,,,,,0.8242053950865269
0.6,10,10,2,entropy,,,,,,0.8193325802655119
0.7000000000000001,10,10,2,entropy,,,,,,0.8270057416625336
0.8,10,10,2,entropy,,,,,,0.8270057416625336
0.9,10,10,2,entropy,,,,,,0.8270057416625336
0.1,10,5,5,entropy,,,,,,0.7109259164766701
0.2,10,5,5,entropy,,,,,,0.7109259164766701
0.30000000000000004,10,5,5,entropy,,,,,,0.7759663381301223
0.4,10,5,5,entropy,,,,,,0.802024263466133
0.5,10,5,5,entropy,,,,,,0.7977080487344836
0.6,10,5,5,entropy,,,,,,0.7977080487344836
0.7000000000000001,10,5,5,entropy,,,,,,0.8706727956710434
0.8,10,5,5,entropy,,,,,,0.8706727956710434
0.9,10,5,5,entropy,,,,,,0.8543478476652122
0.1,10,10,5,entropy,,,,,,0.7109259164766701
0.2,10,10,5,entropy,,,,,,0.7109259164766701
0.30000000000000004,10,10,5,entropy,,,,,,0.7759663381301223
0.4,10,10,5,entropy,,,,,,0.802024263466133
0.5,10,10,5,entropy,,,,,,0.7977080487344836
0.6,10,10,5,entropy,,,,,,0.7977080487344836
0.7000000000000001,10,10,5,entropy,,,,,,0.8706727956710434
0.8,10,10,5,entropy,,,,,,0.8706727956710434
0.9,10,10,5,entropy,,,,,,0.8543478476652122
0.1,10,5,2,entropy,sqrt,,,,,0.437945845772158
0.2,10,5,2,entropy,sqrt,,,,,0.507954869262887
0.30000000000000004,10,5,2,entropy,sqrt,,,,,0.5609506472019252
0.4,10,5,2,entropy,sqrt,,,,,0.5667688083149947
0.5,10,5,2,entropy,sqrt,,,,,0.5667688083149947
0.6,10,5,2,entropy,sqrt,,,,,0.569608383914997
0.7000000000000001,10,5,2,entropy,sqrt,,,,,0.6057564418610887
0.8,10,5,2,entropy,sqrt,,,,,0.6057564418610887
0.9,10,5,2,entropy,sqrt,,,,,0.536064201867153
0.1,10,10,2,entropy,sqrt,,,,,0.41883471625811025
0.2,10,10,2,entropy,sqrt,,,,,0.41280656403894034
0.30000000000000004,10,10,2,entropy,sqrt,,,,,0.48968258660235886
0.4,10,10,2,entropy,sqrt,,,,,0.4949946636592859
0.5,10,10,2,entropy,sqrt,,,,,0.5070941252633171
0.6,10,10,2,entropy,sqrt,,,,,0.5001494234715071
0.7000000000000001,10,10,2,entropy,sqrt,,,,,0.5131653657523902
0.8,10,10,2,entropy,sqrt,,,,,0.5373833675502284
0.9,10,10,2,entropy,sqrt,,,,,0.49776634495922634
0.1,10,5,5,entropy,sqrt,,,,,0.36882713144216106
0.2,10,5,5,entropy,sqrt,,,,,0.35296379989297677
0.30000000000000004,10,5,5,entropy,sqrt,,,,,0.42771473738117766
0.4,10,5,5,entropy,sqrt,,,,,0.44280618845349
0.5,10,5,5,entropy,sqrt,,,,,0.4627601761374116
0.6,10,5,5,entropy,sqrt,,,,,0.48157960087177737
0.7000000000000001,10,5,5,entropy,sqrt,,,,,0.4716293672434194
0.8,10,5,5,entropy,sqrt,,,,,0.47342934482006765
0.9,10,5,5,entropy,sqrt,,,,,0.4230287068611294
0.1,10,10,5,entropy,sqrt,,,,,0.36882713144216106
0.2,10,10,5,entropy,sqrt,,,,,0.35296379989297677
0.30000000000000004,10,10,5,entropy,sqrt,,,,,0.42771473738117766
0.4,10,10,5,entropy,sqrt,,,,,0.44280618845349
0.5,10,10,5,entropy,sqrt,,,,,0.4627601761374116
0.6,10,10,5,entropy,sqrt,,,,,0.48157960087177737
0.7000000000000001,10,10,5,entropy,sqrt,,,,,0.4716293672434194
0.8,10,10,5,entropy,sqrt,,,,,0.47342934482006765
0.9,10,10,5,entropy,sqrt,,,,,0.4230287068611294
0.1,10,5,2,entropy,log2,,,,,0.1709014727350385
0.2,10,5,2,entropy,log2,,,,,0.22101100557873227
0.30000000000000004,10,5,2,entropy,log2,,,,,0.25278542978070606
0.4,10,5,2,entropy,log2,,,,,0.25278542978070606
0.5,10,5,2,entropy,log2,,,,,0.29850447050585543
0.6,10,5,2,entropy,log2,,,,,0.4268704430299565
0.7000000000000001,10,5,2,entropy,log2,,,,,0.344651960069432
0.8,10,5,2,entropy,log2,,,,,0.36685661707598927
0.9,10,5,2,entropy,log2,,,,,0.3525376231578571
0.1,10,10,2,entropy,log2,,,,,0.17952407388939456
0.2,10,10,2,entropy,log2,,,,,0.2137231395454265
0.30000000000000004,10,10,2,entropy,log2,,,,,0.23929923572029171
0.4,10,10,2,entropy,log2,,,,,0.22718368964532848
0.5,10,10,2,entropy,log2,,,,,0.2729027303704779
0.6,10,10,2,entropy,log2,,,,,0.3947040405145862
0.7000000000000001,10,10,2,entropy,log2,,,,,0.3124855575540616
0.8,10,10,2,entropy,log2,,,,,0.33469021456061887
0.9,10,10,2,entropy,log2,,,,,0.2379901515637653
0.1,10,5,5,entropy,log2,,,,,0.17526022290241242
0.2,10,5,5,entropy,log2,,,,,0.2786472828993301
0.30000000000000004,10,5,5,entropy,log2,,,,,0.37641265028937815
0.4,10,5,5,entropy,log2,,,,,0.37747807839667324
0.5,10,5,5,entropy,log2,,,,,0.38714776129514455
0.6,10,5,5,entropy,log2,,,,,0.363772806940305
0.7000000000000001,10,5,5,entropy,log2,,,,,0.29842375929642073
0.8,10,5,5,entropy,log2,,,,,0.32423865281572023
0.9,10,5,5,entropy,log2,,,,,0.21160995119131432
0.1,10,10,5,entropy,log2,,,,,0.17526022290241242
0.2,10,10,5,entropy,log2,,,,,0.2786472828993301
0.30000000000000004,10,10,5,entropy,log2,,,,,0.37641265028937815
0.4,10,10,5,entropy,log2,,,,,0.37747807839667324
0.5,10,10,5,entropy,log2,,,,,0.38714776129514455
0.6,10,10,5,entropy,log2,,,,,0.363772806940305
0.7000000000000001,10,10,5,entropy,log2,,,,,0.29842375929642073
0.8,10,10,5,entropy,log2,,,,,0.32423865281572023
0.9,10,10,5,entropy,log2,,,,,0.21160995119131432
0.1,20,5,2,entropy,,,,,,0.8242053950865269
0.2,20,5,2,entropy,,,,,,0.8242053950865269
0.30000000000000004,20,5,2,entropy,,,,,,0.8242053950865269
0.4,20,5,2,entropy,,,,,,0.8242053950865269
0.5,20,5,2,entropy,,,,,,0.8242053950865269
0.6,20,5,2,entropy,,,,,,0.8193325802655119
0.7000000000000001,20,5,2,entropy,,,,,,0.8270057416625336
0.8,20,5,2,entropy,,,,,,0.8270057416625336
0.9,20,5,2,entropy,,,,,,0.8270057416625336
0.1,20,10,2,entropy,,,,,,0.8242053950865269
0.2,20,10,2,entropy,,,,,,0.8242053950865269
0.30000000000000004,20,10,2,entropy,,,,,,0.8242053950865269
0.4,20,10,2,entropy,,,,,,0.8242053950865269
0.5,20,10,2,entropy,,,,,,0.8242053950865269
0.6,20,10,2,entropy,,,,,,0.8193325802655119
0.7000000000000001,20,10,2,entropy,,,,,,0.8270057416625336
0.8,20,10,2,entropy,,,,,,0.8270057416625336
0.9,20,10,2,entropy,,,,,,0.8270057416625336
0.1,20,5,5,entropy,,,,,,0.7109259164766701
0.2,20,5,5,entropy,,,,,,0.7109259164766701
0.30000000000000004,20,5,5,entropy,,,,,,0.7759663381301223
0.4,20,5,5,entropy,,,,,,0.802024263466133
0.5,20,5,5,entropy,,,,,,0.7977080487344836
0.6,20,5,5,entropy,,,,,,0.7977080487344836
