n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,entropy,10,2,1,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,2,1,0.1,0.5166666666666667,0.23684210526315788,1.0,0.3829787234042553,0.31963601590330637
10,gini,10,2,2,1,0.2,0.8,0.42857142857142855,1.0,0.6,0.5724780279075999
10,gini,10,2,2,1,0.30000000000000004,0.8666666666666667,0.5454545454545454,0.6666666666666666,0.6,0.5247346970015024
10,gini,10,2,2,1,0.4,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
10,gini,10,2,2,1,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,gini,10,2,2,1,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,2,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,1,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,1,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,2,0.1,0.5666666666666667,0.24242424242424243,0.8888888888888888,0.38095238095238093,0.28615800206850767
10,gini,10,2,2,2,0.2,0.7666666666666667,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.35735948550863555
10,gini,10,2,2,2,0.30000000000000004,0.8333333333333334,0.42857142857142855,0.3333333333333333,0.375,0.2835257867105283
10,gini,10,2,2,2,0.4,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
10,gini,10,2,2,2,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,2,2,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,2,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,2,2,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,2,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,3,0.1,0.6333333333333333,0.27586206896551724,0.8888888888888888,0.42105263157894735,0.34092427546309295
10,gini,10,2,2,3,0.2,0.75,0.35,0.7777777777777778,0.4827586206896552,0.3960590171906697
10,gini,10,2,2,3,0.30000000000000004,0.8666666666666667,0.5454545454545454,0.6666666666666666,0.6,0.5247346970015024
10,gini,10,2,2,3,0.4,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
10,gini,10,2,2,3,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,gini,10,2,2,3,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
10,gini,10,2,2,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,3,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,3,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,4,0.1,0.5333333333333333,0.24324324324324326,1.0,0.391304347826087,0.3312067831843801
10,gini,10,2,2,4,0.2,0.8166666666666667,0.45,1.0,0.6206896551724138,0.5940885257860046
10,gini,10,2,2,4,0.30000000000000004,0.8666666666666667,0.5454545454545454,0.6666666666666666,0.6,0.5247346970015024
10,gini,10,2,2,4,0.4,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
10,gini,10,2,2,4,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
10,gini,10,2,2,4,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,gini,10,2,2,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,4,0.8,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,4,0.9,0.85,1.0,0.0,0.0,0.0
10,gini,10,2,2,5,0.1,0.4915254237288136,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.2296658066547625
10,gini,10,2,2,5,0.2,0.711864406779661,0.3,0.6666666666666666,0.41379310344827586,0.2936944164542633
10,gini,10,2,2,5,0.30000000000000004,0.847457627118644,0.5,0.3333333333333333,0.4,0.32515115014443907
10,gini,10,2,2,5,0.4,0.8813559322033898,0.75,0.3333333333333333,0.46153846153846156,0.4481274169454284
10,gini,10,2,2,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
10,gini,10,2,2,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,2,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,2,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,2,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
10,entropy,10,2,2,1,0.1,0.55,0.23529411764705882,0.8888888888888888,0.37209302325581395,0.27315979178514865
