learning_rate,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,200,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,200,5,0.6,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,200,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,200,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,200,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,300,1,0.1,0.8,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.46094194507635605
0.01,3,300,1,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,3,300,1,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,3,300,1,0.4,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,300,1,0.5,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,300,1,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.01,3,300,1,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,300,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,2,0.1,0.6666666666666666,0.28,0.7777777777777778,0.4117647058823529,0.3076976944152481
0.01,3,300,2,0.2,0.8333333333333334,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.4588590754276736
0.01,3,300,2,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,3,300,2,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,300,2,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,3,300,2,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,3,300,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,3,0.1,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
0.01,3,300,3,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,3,300,3,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,3,300,3,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,300,3,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,300,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,300,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,300,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,4,0.1,0.85,0.5,1.0,0.6666666666666666,0.6416889479197478
