dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,accuracy,precision,recall,f1,mcc
20,5,2,gini,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
20,5,2,gini,log2,5,0.6666666666666666,0.25,0.5555555555555556,0.3448275862068966,0.18570840749037887
20,5,2,entropy,,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
20,5,2,entropy,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
20,5,2,entropy,,3,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
20,5,2,entropy,,4,1.0,1.0,1.0,1.0,1.0
20,5,2,entropy,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,5,2,entropy,sqrt,1,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
20,5,2,entropy,sqrt,2,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,5,2,entropy,sqrt,3,0.8103448275862069,0.375,0.3333333333333333,0.35294117647058826,0.24285714285714285
20,5,2,entropy,sqrt,4,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
20,5,2,entropy,sqrt,5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
20,5,2,entropy,log2,1,0.7931034482758621,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3406033187925883
20,5,2,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
20,5,2,entropy,log2,3,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,5,2,entropy,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
20,5,2,entropy,log2,5,0.6666666666666666,0.25,0.5555555555555556,0.3448275862068966,0.18570840749037887
20,5,5,gini,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,5,5,gini,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,5,5,gini,,3,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
20,5,5,gini,,4,1.0,1.0,1.0,1.0,1.0
20,5,5,gini,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,5,5,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
20,5,5,gini,sqrt,2,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
20,5,5,gini,sqrt,3,0.8275862068965517,0.45454545454545453,0.5555555555555556,0.5,0.4000081140595553
20,5,5,gini,sqrt,4,0.8245614035087719,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.45262926523618835
20,5,5,gini,sqrt,5,0.8947368421052632,0.8,0.4444444444444444,0.5714285714285714,0.5460375914550676
20,5,5,gini,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
20,5,5,gini,log2,2,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
20,5,5,gini,log2,3,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
20,5,5,gini,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
20,5,5,gini,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
20,5,5,entropy,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,5,5,entropy,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,5,5,entropy,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
20,5,5,entropy,,4,0.9824561403508771,0.9,1.0,0.9473684210526315,0.9387491677759293
20,5,5,entropy,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,5,5,entropy,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,5,5,entropy,sqrt,2,0.8620689655172413,0.6,0.3333333333333333,0.42857142857142855,0.37735271462657
20,5,5,entropy,sqrt,3,0.7413793103448276,0.3125,0.5555555555555556,0.4,0.26819391779125495
20,5,5,entropy,sqrt,4,0.8771929824561403,0.6,0.6666666666666666,0.631578947368421,0.5592548233558728
20,5,5,entropy,sqrt,5,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
20,5,5,entropy,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
20,5,5,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
20,5,5,entropy,log2,3,0.8448275862068966,0.5,0.1111111111111111,0.18181818181818182,0.1799830823853463
20,5,5,entropy,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
20,5,5,entropy,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
20,10,2,gini,,1,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
20,10,2,gini,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
20,10,2,gini,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
20,10,2,gini,,4,1.0,1.0,1.0,1.0,1.0
20,10,2,gini,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,10,2,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
20,10,2,gini,sqrt,2,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
20,10,2,gini,sqrt,3,0.8103448275862069,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.4259349952705581
20,10,2,gini,sqrt,4,0.8421052631578947,0.5,0.7777777777777778,0.6086956521739131,0.5353311660685758
20,10,2,gini,sqrt,5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
20,10,2,gini,log2,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
20,10,2,gini,log2,2,0.8620689655172413,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6168743975838902
20,10,2,gini,log2,3,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
20,10,2,gini,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
20,10,2,gini,log2,5,0.6666666666666666,0.25,0.5555555555555556,0.3448275862068966,0.18570840749037887
20,10,2,entropy,,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
20,10,2,entropy,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
20,10,2,entropy,,3,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
20,10,2,entropy,,4,1.0,1.0,1.0,1.0,1.0
20,10,2,entropy,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,10,2,entropy,sqrt,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
20,10,2,entropy,sqrt,2,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,10,2,entropy,sqrt,3,0.8620689655172413,0.5714285714285714,0.4444444444444444,0.5,0.4259251664772323
20,10,2,entropy,sqrt,4,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
20,10,2,entropy,sqrt,5,0.8771929824561403,0.6,0.6666666666666666,0.631578947368421,0.5592548233558728
20,10,2,entropy,log2,1,0.7931034482758621,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3406033187925883
20,10,2,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
20,10,2,entropy,log2,3,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,10,2,entropy,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
20,10,2,entropy,log2,5,0.6666666666666666,0.25,0.5555555555555556,0.3448275862068966,0.18570840749037887
20,10,5,gini,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,10,5,gini,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,10,5,gini,,3,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
20,10,5,gini,,4,1.0,1.0,1.0,1.0,1.0
20,10,5,gini,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,10,5,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
20,10,5,gini,sqrt,2,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
20,10,5,gini,sqrt,3,0.8275862068965517,0.45454545454545453,0.5555555555555556,0.5,0.4000081140595553
20,10,5,gini,sqrt,4,0.8245614035087719,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.45262926523618835
20,10,5,gini,sqrt,5,0.8947368421052632,0.8,0.4444444444444444,0.5714285714285714,0.5460375914550676
20,10,5,gini,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
20,10,5,gini,log2,2,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
20,10,5,gini,log2,3,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
20,10,5,gini,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
20,10,5,gini,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
20,10,5,entropy,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,10,5,entropy,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,10,5,entropy,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
20,10,5,entropy,,4,0.9824561403508771,0.9,1.0,0.9473684210526315,0.9387491677759293
20,10,5,entropy,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,10,5,entropy,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,10,5,entropy,sqrt,2,0.8620689655172413,0.6,0.3333333333333333,0.42857142857142855,0.37735271462657
20,10,5,entropy,sqrt,3,0.7413793103448276,0.3125,0.5555555555555556,0.4,0.26819391779125495
20,10,5,entropy,sqrt,4,0.8771929824561403,0.6,0.6666666666666666,0.631578947368421,0.5592548233558728
20,10,5,entropy,sqrt,5,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
20,10,5,entropy,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
20,10,5,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
20,10,5,entropy,log2,3,0.8448275862068966,0.5,0.1111111111111111,0.18181818181818182,0.1799830823853463
20,10,5,entropy,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
20,10,5,entropy,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
30,5,2,gini,,1,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
30,5,2,gini,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
30,5,2,gini,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
30,5,2,gini,,4,1.0,1.0,1.0,1.0,1.0
30,5,2,gini,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
30,5,2,gini,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
30,5,2,gini,sqrt,2,0.8448275862068966,0.5,0.3333333333333333,0.4,0.32350772404131306
30,5,2,gini,sqrt,3,0.8620689655172413,0.5454545454545454,0.6666666666666666,0.6,0.5214765466012004
30,5,2,gini,sqrt,4,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
30,5,2,gini,sqrt,5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
30,5,2,gini,log2,1,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
30,5,2,gini,log2,2,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
30,5,2,gini,log2,3,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
30,5,2,gini,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
30,5,2,gini,log2,5,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
30,5,2,entropy,,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
30,5,2,entropy,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
30,5,2,entropy,,3,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
30,5,2,entropy,,4,1.0,1.0,1.0,1.0,1.0
30,5,2,entropy,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
30,5,2,entropy,sqrt,1,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
30,5,2,entropy,sqrt,2,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
30,5,2,entropy,sqrt,3,0.8103448275862069,0.375,0.3333333333333333,0.35294117647058826,0.24285714285714285
30,5,2,entropy,sqrt,4,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
30,5,2,entropy,sqrt,5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
30,5,2,entropy,log2,1,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
30,5,2,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
30,5,2,entropy,log2,3,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
30,5,2,entropy,log2,4,0.7192982456140351,0.29411764705882354,0.5555555555555556,0.38461538461538464,0.24354409352352624
30,5,2,entropy,log2,5,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
30,5,5,gini,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
30,5,5,gini,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
30,5,5,gini,,3,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
30,5,5,gini,,4,1.0,1.0,1.0,1.0,1.0
30,5,5,gini,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
30,5,5,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
30,5,5,gini,sqrt,2,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
30,5,5,gini,sqrt,3,0.8275862068965517,0.45454545454545453,0.5555555555555556,0.5,0.4000081140595553
30,5,5,gini,sqrt,4,0.8245614035087719,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.45262926523618835
30,5,5,gini,sqrt,5,0.8947368421052632,0.8,0.4444444444444444,0.5714285714285714,0.5460375914550676
30,5,5,gini,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
30,5,5,gini,log2,2,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
30,5,5,gini,log2,3,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
30,5,5,gini,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
30,5,5,gini,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
30,5,5,entropy,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
30,5,5,entropy,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
