pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
0.9,3,uniform,cosine,5,0.6,0.8305084745762712,0.4,0.2222222222222222,0.2857142857142857,0.20942798835047513
0.9,3,uniform,cosine,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.9,3,uniform,euclidean,1,0.1,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.16666666666666666,-0.026948402781814776
0.9,3,uniform,euclidean,1,0.2,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.16666666666666666,-0.026948402781814776
0.9,3,uniform,euclidean,1,0.30000000000000004,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.16666666666666666,-0.026948402781814776
0.9,3,uniform,euclidean,1,0.4,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,1,0.5,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,1,0.6,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,euclidean,1,0.8,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,euclidean,1,0.9,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,euclidean,2,0.1,0.75,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3361227822436774
0.9,3,uniform,euclidean,2,0.2,0.75,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3361227822436774
0.9,3,uniform,euclidean,2,0.30000000000000004,0.75,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3361227822436774
0.9,3,uniform,euclidean,2,0.4,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.9,3,uniform,euclidean,2,0.5,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.9,3,uniform,euclidean,2,0.6,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.9,3,uniform,euclidean,2,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,3,uniform,euclidean,2,0.8,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,3,uniform,euclidean,2,0.9,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,3,uniform,euclidean,3,0.1,0.7833333333333333,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.43797817080236756
0.9,3,uniform,euclidean,3,0.2,0.7833333333333333,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.43797817080236756
0.9,3,uniform,euclidean,3,0.30000000000000004,0.7833333333333333,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.43797817080236756
0.9,3,uniform,euclidean,3,0.4,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,3,0.5,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,3,0.6,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857,0.21110016546037455
0.9,3,uniform,euclidean,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.9,3,uniform,euclidean,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.9,3,uniform,euclidean,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
