pca__n_components,n_neighbors,weights,metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.9,3,uniform,euclidean,0.8,0.8528248587570622,0.007815726176416371,0.9,0.22360679774997896,0.04444444444444444,0.06085806194501846,0.07636363636363637,0.1047626202973668,0.09838588705509674,0.1421062784140472
0.9,3,uniform,euclidean,0.9,0.8528248587570622,0.007815726176416371,0.9,0.22360679774997896,0.04444444444444444,0.06085806194501846,0.07636363636363637,0.1047626202973668,0.09838588705509674,0.1421062784140472
0.9,5,distance,cosine,0.1,0.7323163841807909,0.03465584801613227,0.28521367521367524,0.08913489134612361,0.5555555555555556,0.22222222222222218,0.3757148496458841,0.1296790853636858,0.24839061294944687,0.16813196390979832
0.9,5,distance,cosine,0.2,0.8025423728813559,0.0424011205335792,0.3686752136752137,0.11727748587478867,0.4888888888888888,0.23040490392586357,0.4150326797385621,0.15801870655684605,0.30760472880672923,0.18671621807158253
0.9,5,distance,cosine,0.30000000000000004,0.8528248587570622,0.04630787091843088,0.4988455988455988,0.1674065148923555,0.4222222222222222,0.24088314876309777,0.44542735042735043,0.2057433573565736,0.3715904721136988,0.22134534373548012
0.9,5,distance,cosine,0.4,0.8662146892655368,0.04250384657194238,0.5914285714285714,0.19449335309745927,0.4,0.20184335693983277,0.4609774436090225,0.18901255532221725,0.40803315002193663,0.2005681150939982
0.9,5,distance,cosine,0.5,0.8795480225988701,0.043326648177972014,0.6744444444444444,0.22428211951870453,0.4,0.20184335693983277,0.48722832722832726,0.20460099993138964,0.45235378188262193,0.21790960561955078
0.9,5,distance,cosine,0.6,0.8728248587570622,0.035005688014480854,0.6444444444444445,0.2100852266798782,0.33333333333333337,0.20786985482077452,0.4185370185370186,0.2132037734632119,0.3939614152480325,0.21116361247020518
0.9,5,distance,cosine,0.7000000000000001,0.8694915254237288,0.022336935398781836,0.7333333333333333,0.25276251480171835,0.26666666666666666,0.12668615834434865,0.3698752228163993,0.12630840454942513,0.37712008875571323,0.13539284860908452
0.9,5,distance,cosine,0.8,0.8828248587570622,0.021455355508501132,0.9,0.22360679774997896,0.2444444444444444,0.09296222517045284,0.38181818181818183,0.13095327537170848,0.43146868588294146,0.1493634179381338
0.9,5,distance,cosine,0.9,0.8728248587570622,0.0159115043646082,1.0,0.0,0.15555555555555553,0.09938079899999064,0.2581818181818182,0.16078320705043014,0.32720831275172796,0.19165443813193705
0.9,5,distance,euclidean,0.1,0.692090395480226,0.060090197346707085,0.2727272727272727,0.08005732471388281,0.6222222222222221,0.18592445034090566,0.37878136200716844,0.11041474464419512,0.24637470212022627,0.16399254411893713
0.9,5,distance,euclidean,0.2,0.799322033898305,0.026395882910402523,0.35460927960927957,0.09948980356372082,0.4888888888888888,0.24343224778007383,0.40388317962231,0.1552473699649327,0.2980193541724675,0.1744888267411689
0.9,5,distance,euclidean,0.30000000000000004,0.8361016949152542,0.02484784043813503,0.4371428571428571,0.10036869122276271,0.4222222222222222,0.1987615979999813,0.4212605042016807,0.14856301546581607,0.3321722378429363,0.1562918680477973
0.9,5,distance,euclidean,0.4,0.8662146892655367,0.016697281085058108,0.5916666666666666,0.08539125638299665,0.4,0.16850834320114558,0.4577820115900611,0.1279036088098585,0.40707624002406695,0.1079869314073642
0.9,5,distance,euclidean,0.5,0.876271186440678,0.01884945084232004,0.7833333333333333,0.21730674684008833,0.3333333333333333,0.13608276348795434,0.43696478959636853,0.08467207488805423,0.4414059352796226,0.07584970261021051
0.9,5,distance,euclidean,0.6,0.8762146892655368,0.01531479921860327,0.8476190476190476,0.2113556287730681,0.26666666666666666,0.12668615834434865,0.3793939393939394,0.12613852487000948,0.4117064705047856,0.09498884976772488
0.9,5,distance,euclidean,0.7000000000000001,0.8828813559322034,0.012599313412178353,1.0,0.0,0.22222222222222224,0.07856742013183861,0.3581818181818182,0.10632866557973417,0.43634817573466267,0.08402276308387881
0.9,5,distance,euclidean,0.8,0.8795480225988701,0.008464212118219506,1.0,0.0,0.2,0.04969039949999532,0.33090909090909093,0.07318040653635675,0.415533103953811,0.059278650473593764
0.9,5,distance,euclidean,0.9,0.862824858757062,0.014583769367361403,1.0,0.0,0.08888888888888888,0.09296222517045283,0.15272727272727274,0.15459892123259142,0.21237330313496378,0.2012340645296694
0.9,5,uniform,cosine,0.1,0.6551977401129944,0.06352748731943626,0.23956043956043954,0.08763645358001465,0.6,0.23040490392586357,0.34169278996865204,0.1254224971254172,0.195394040597051,0.1883198254777527
0.9,5,uniform,cosine,0.2,0.6551977401129944,0.06352748731943626,0.23956043956043954,0.08763645358001465,0.6,0.23040490392586357,0.34169278996865204,0.1254224971254172,0.195394040597051,0.1883198254777527
0.9,5,uniform,cosine,0.30000000000000004,0.8225988700564972,0.0315088904259637,0.3942857142857143,0.11879258396270007,0.3333333333333333,0.15713484026367724,0.3527731092436975,0.12512006489650995,0.25838639279253506,0.13690366251544764
0.9,5,uniform,cosine,0.4,0.8225988700564972,0.0315088904259637,0.3942857142857143,0.11879258396270007,0.3333333333333333,0.15713484026367724,0.3527731092436975,0.12512006489650995,0.25838639279253506,0.13690366251544764
0.9,5,uniform,cosine,0.5,0.8494350282485875,0.021019113247430787,0.5055555555555555,0.15265146293371207,0.2444444444444444,0.14487116456005886,0.31243201243201246,0.1396334388190199,0.27117261426197664,0.1316313405439985
0.9,5,uniform,cosine,0.6,0.8494350282485875,0.021019113247430787,0.5055555555555555,0.15265146293371207,0.2444444444444444,0.14487116456005886,0.31243201243201246,0.1396334388190199,0.27117261426197664,0.1316313405439985
0.9,5,uniform,cosine,0.7000000000000001,0.862824858757062,0.014583769367361379,0.8,0.2738612787525831,0.13333333333333333,0.049690399499995326,0.2254545454545455,0.07777908958620887,0.28498075528587236,0.10876702703495923
0.9,5,uniform,cosine,0.8,0.862824858757062,0.014583769367361379,0.8,0.2738612787525831,0.13333333333333333,0.049690399499995326,0.2254545454545455,0.07777908958620887,0.28498075528587236,0.10876702703495923
