pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,0.01,150,2,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
180,3,0.01,150,2,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
180,3,0.01,150,2,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,150,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,150,3,0.2,0.55,0.25,1.0,0.4,0.3429971702850177
180,3,0.01,150,3,0.30000000000000004,0.6833333333333333,0.2727272727272727,0.6666666666666666,0.3870967741935484,0.26152037664815975
180,3,0.01,150,3,0.4,0.8333333333333334,0.45454545454545453,0.5555555555555556,0.5,0.4041060310241455
180,3,0.01,150,3,0.5,0.8833333333333333,0.625,0.5555555555555556,0.5882352941176471,0.5217732845620352
180,3,0.01,150,3,0.6,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
180,3,0.01,150,3,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
180,3,0.01,150,3,0.8,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
180,3,0.01,150,3,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,150,4,0.1,0.15254237288135594,0.15254237288135594,1.0,0.2647058823529412,0.0
180,3,0.01,150,4,0.2,0.6779661016949152,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.3830249426709789
180,3,0.01,150,4,0.30000000000000004,0.8305084745762712,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5627756785465442
180,3,0.01,150,4,0.4,0.8813559322033898,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.649829715857926
180,3,0.01,150,4,0.5,0.8983050847457628,0.6363636363636364,0.7777777777777778,0.7,0.6441788027918413
180,3,0.01,150,4,0.6,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6066666666666667
180,3,0.01,150,4,0.7000000000000001,0.9152542372881356,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6370847738602424
180,3,0.01,150,4,0.8,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
180,3,0.01,150,4,0.9,0.847457627118644,1.0,0.0,0.0,0.0
180,3,0.01,150,5,0.1,0.13559322033898305,0.13559322033898305,1.0,0.23880597014925373,0.0
180,3,0.01,150,5,0.2,0.4745762711864407,0.17142857142857143,0.75,0.27906976744186046,0.12640434284399646
180,3,0.01,150,5,0.30000000000000004,0.711864406779661,0.2857142857142857,0.75,0.41379310344827586,0.32597284057234055
180,3,0.01,150,5,0.4,0.7966101694915254,0.375,0.75,0.5,0.42656393934045245
180,3,0.01,150,5,0.5,0.847457627118644,0.4444444444444444,0.5,0.47058823529411764,0.382743222967656
180,3,0.01,150,5,0.6,0.9152542372881356,0.8,0.5,0.6153846153846154,0.5905329129507862
180,3,0.01,150,5,0.7000000000000001,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,150,5,0.8,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,150,5,0.9,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,200,1,0.1,0.23333333333333334,0.16363636363636364,1.0,0.28125,0.12666009927622474
180,3,0.01,200,1,0.2,0.6,0.2413793103448276,0.7777777777777778,0.3684210526315789,0.2475203643773141
180,3,0.01,200,1,0.30000000000000004,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
180,3,0.01,200,1,0.4,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
180,3,0.01,200,1,0.5,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
180,3,0.01,200,1,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
180,3,0.01,200,1,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
180,3,0.01,200,1,0.8,0.85,1.0,0.0,0.0,0.0
180,3,0.01,200,1,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,200,2,0.1,0.21666666666666667,0.16071428571428573,1.0,0.27692307692307694,0.11227217828476796
