criterion,cvTest,splitter,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1,train_time,test_time
entropy,3,best,10,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.018777926762898762,0.0022744337717692056
entropy,3,random,10,5,2,1.0,0.9148936170212766,0.9574468085106383,0.9555555555555556,0.005359172821044922,0.0012572606404622395
entropy,3,best,30,2,1,1.0,1.0,1.0,1.0,0.020874420801798504,0.0012892882029215496
entropy,3,random,30,2,1,1.0,1.0,1.0,1.0,0.006011644999186198,0.0012233257293701172
entropy,3,best,30,5,1,1.0,1.0,1.0,1.0,0.02298728624979655,0.001283407211303711
entropy,3,random,30,5,1,1.0,1.0,1.0,1.0,0.005964120229085286,0.0011806488037109375
entropy,3,best,30,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.027761300404866535,0.0012868245442708333
entropy,3,random,30,2,2,1.0,1.0,1.0,1.0,0.004316886266072591,0.0012921492258707683
entropy,3,best,30,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.019738038380940754,0.0012559890747070312
entropy,3,random,30,5,2,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.004352728525797526,0.004996379216512044
entropy,3,best,50,2,1,1.0,1.0,1.0,1.0,0.01841084162394206,0.0017090638478597004
entropy,3,random,50,2,1,1.0,1.0,1.0,1.0,0.00917800267537435,0.0012260278065999348
entropy,3,best,50,5,1,1.0,1.0,1.0,1.0,0.021619399388631184,0.0016222794850667317
entropy,3,random,50,5,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.006448666254679362,0.0011587937672932942
entropy,3,best,50,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.019646326700846355,0.003973325093587239
entropy,3,random,50,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.0067640940348307295,0.0012424786885579426
entropy,3,best,50,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.019553581873575848,0.0014495849609375
entropy,3,random,50,5,2,1.0,0.8936170212765957,0.9468085106382979,0.9438202247191011,0.00908660888671875,0.0019699732462565103
entropy,3,best,100,2,1,1.0,1.0,1.0,1.0,0.0257107416788737,0.0013045469919840496
entropy,3,random,100,2,1,1.0,1.0,1.0,1.0,0.009495258331298828,0.002332925796508789
entropy,3,best,100,5,1,1.0,1.0,1.0,1.0,0.02630933125813802,0.001769701639811198
entropy,3,random,100,5,1,1.0,1.0,1.0,1.0,0.00865634282430013,0.0011796156565348308
entropy,3,best,100,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.025436242421468098,0.0015923182169596355
entropy,3,random,100,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.006642341613769531,0.0014335314432779949
entropy,3,best,100,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.02431797981262207,0.0036510626475016275
entropy,3,random,100,5,2,1.0,0.8936170212765957,0.9468085106382979,0.9438202247191011,0.005150238672892253,0.0013886292775472004
entropy,3,best,300,2,1,1.0,1.0,1.0,1.0,0.023910363515218098,0.0033000310262044272
entropy,3,random,300,2,1,1.0,1.0,1.0,1.0,0.007809797922770183,0.0033343633015950522
entropy,3,best,300,5,1,1.0,1.0,1.0,1.0,0.021112362543741863,0.0022683143615722656
entropy,3,random,300,5,1,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.006100813547770183,0.0014335314432779949
entropy,3,best,300,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.019660154978434246,0.001428524653116862
entropy,3,random,300,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.0052496592203776045,0.0016128222147623699
entropy,3,best,300,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.023084402084350586,0.0014218489329020183
entropy,3,random,300,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.005175034205118815,0.0012899239857991536
