kernel,C,dim,eps,storage,preparationTime,predictionTime,precision,recall
sigmoid,1.0,200,0.5,313012,0.230683376666396,0.001478056581195272,0.5109301104617441,0.8399999999999999
linear,10.0,0,0.1,7050653,0.6430371599992214,0.004106061025635831,0.4552025981688453,0.4749999999999999
linear,10.0,0,0.3,913613,0.24300664333313773,0.0015545159829064056,0.46392382135146976,0.49
linear,10.0,0,0.5,395692,0.2343032300005992,0.0014978100854746003,0.44784157221348336,0.4649999999999999
linear,10.0,100,0.1,157012,0.22513626333444953,0.0014191739316279735,0.4157630142151611,0.43166666666666664
linear,10.0,100,0.3,157012,0.20639439666744377,0.0013042080341993147,0.4229896512505207,0.415
linear,10.0,100,0.5,157012,0.20079356000048101,0.001265388803420868,0.42223595380554596,0.4516666666666666
linear,10.0,200,0.1,313012,0.20549322333317824,0.0013129647863289026,0.45076343912041855,0.48000000000000004
linear,10.0,200,0.3,313012,0.21806265333379987,0.0013931646153868603,0.4318134995524841,0.44999999999999996
linear,10.0,200,0.5,313012,0.22225861000030514,0.0014209817093996028,0.43376200456463615,0.4399999999999999
rbf,10.0,0,0.1,7050653,0.6760279799997079,0.004577641880345426,0.533956318862146,0.5366666666666668
rbf,10.0,0,0.3,913613,0.24582231333273133,0.001585739059827706,0.48045065618342797,0.4550000000000001
rbf,10.0,0,0.5,395692,0.22121410333335614,0.001423700256410896,0.5288572720347858,0.5333333333333333
rbf,10.0,100,0.1,157012,0.217635753333343,0.001398868547008362,0.5083728156645232,0.5416666666666666
rbf,10.0,100,0.3,157012,0.19756659000104254,0.0012700639316253963,0.5165101186987153,0.5783333333333335
rbf,10.0,100,0.5,157012,0.2152373366661172,0.0013831852991363401,0.5138877757376209,0.5033333333333334
rbf,10.0,200,0.1,313012,0.21304853666733833,0.0013706970940188317,0.5010968598864137,0.4916666666666668
rbf,10.0,200,0.3,313012,0.2238132933334781,0.0014394824786321783,0.508410853117022,0.5849999999999999
rbf,10.0,200,0.5,313012,0.22729250666585965,0.0014628118803394058,0.503999388301635,0.545
poly,10.0,0,0.1,7050653,0.6505286466660744,0.004155879658113312,0.4906144771421787,0.8433333333333334
poly,10.0,0,0.3,913613,0.2583158800004335,0.0016545030769264436,0.495165332735679,0.8733333333333332
poly,10.0,0,0.5,395692,0.23330414333346816,0.0014943625641022568,0.48159519350279695,0.8283333333333334
poly,10.0,100,0.1,157012,0.21828655000020555,0.0013984049572763589,0.4734209229134963,0.8266666666666665
poly,10.0,100,0.3,157012,0.20901934999983496,0.0013391561538406275,0.48737017033069663,0.8783333333333331
poly,10.0,100,0.5,157012,0.20106188666644195,0.0012879817948751769,0.48291169325259486,0.8516666666666666
