pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,150,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,200,1,0.1,0.1896551724137931,0.16071428571428573,1.0,0.27692307692307694,0.08099238707340584
150,3,0.01,200,1,0.2,0.5,0.23684210526315788,1.0,0.3829787234042553,0.31091839290429074
150,3,0.01,200,1,0.30000000000000004,0.7241379310344828,0.34782608695652173,0.8888888888888888,0.5,0.43133618059645723
150,3,0.01,200,1,0.4,0.8793103448275862,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6039867765859692
150,3,0.01,200,1,0.5,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
150,3,0.01,200,1,0.6,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,3,0.01,200,1,0.7000000000000001,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
150,3,0.01,200,1,0.8,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,200,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,200,2,0.1,0.1724137931034483,0.15789473684210525,1.0,0.2727272727272727,0.05676567244564474
150,3,0.01,200,2,0.2,0.46551724137931033,0.21052631578947367,0.8888888888888888,0.3404255319148936,0.21073357741290816
150,3,0.01,200,2,0.30000000000000004,0.6551724137931034,0.28,0.7777777777777778,0.4117647058823529,0.3000767212188696
150,3,0.01,200,2,0.4,0.8275862068965517,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.4547940268270977
150,3,0.01,200,2,0.5,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
150,3,0.01,200,2,0.6,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
150,3,0.01,200,2,0.7000000000000001,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,3,0.01,200,2,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,200,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,200,3,0.1,0.2413793103448276,0.16981132075471697,1.0,0.2903225806451613,0.13163466789298955
150,3,0.01,200,3,0.2,0.5517241379310345,0.2571428571428571,1.0,0.4090909090909091,0.34741863573333326
150,3,0.01,200,3,0.30000000000000004,0.7241379310344828,0.36,1.0,0.5294117647058824,0.49239108398897385
150,3,0.01,200,3,0.4,0.8620689655172413,0.5294117647058824,1.0,0.6923076923076923,0.6655653167618867
150,3,0.01,200,3,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
