rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,fold,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,entropy,2,0.2,0.8620689655172413,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6168743975838902
50,10,5,2,entropy,2,0.30000000000000004,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
50,10,5,2,entropy,2,0.4,0.896551724137931,0.6363636363636364,0.7777777777777778,0.7,0.6429449791428454
50,10,5,2,entropy,2,0.5,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
50,10,5,2,entropy,2,0.6,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
50,10,5,2,entropy,2,0.7000000000000001,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
50,10,5,2,entropy,2,0.8,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
50,10,5,2,entropy,2,0.9,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,10,5,2,entropy,3,0.1,0.6724137931034483,0.32142857142857145,1.0,0.4864864864864865,0.443613573862942
50,10,5,2,entropy,3,0.2,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,10,5,2,entropy,3,0.30000000000000004,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
50,10,5,2,entropy,3,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,entropy,3,0.5,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,entropy,3,0.6,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
50,10,5,2,entropy,3,0.7000000000000001,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
50,10,5,2,entropy,3,0.8,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
50,10,5,2,entropy,3,0.9,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,10,5,2,entropy,4,0.1,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
50,10,5,2,entropy,4,0.2,0.7894736842105263,0.42857142857142855,1.0,0.6,0.5669467095138409
50,10,5,2,entropy,4,0.30000000000000004,0.8421052631578947,0.5,1.0,0.6666666666666666,0.6373774391990981
50,10,5,2,entropy,4,0.4,0.9649122807017544,0.8181818181818182,1.0,0.9,0.8854890790353708
50,10,5,2,entropy,4,0.5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,10,5,2,entropy,4,0.6,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
50,10,5,2,entropy,4,0.7000000000000001,0.9122807017543859,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6353446734100326
50,10,5,2,entropy,4,0.8,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,10,5,2,entropy,4,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,10,5,2,entropy,5,0.1,0.7543859649122807,0.391304347826087,1.0,0.5625,0.5264730886222754
50,10,5,2,entropy,5,0.2,0.8421052631578947,0.5,0.8888888888888888,0.64,0.586085262533831
50,10,5,2,entropy,5,0.30000000000000004,0.9298245614035088,0.7272727272727273,0.8888888888888888,0.8,0.7635739159797762
50,10,5,2,entropy,5,0.4,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,10,5,2,entropy,5,0.5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,10,5,2,entropy,5,0.6,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
50,10,5,2,entropy,5,0.7000000000000001,0.9473684210526315,1.0,0.6666666666666666,0.8,0.7921180343813394
50,10,5,2,entropy,5,0.8,0.9473684210526315,1.0,0.6666666666666666,0.8,0.7921180343813394
50,10,5,2,entropy,5,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,10,5,5,gini,1,0.1,0.46551724137931033,0.225,1.0,0.3673469387755102,0.28749445424997294
50,10,5,5,gini,1,0.2,0.8620689655172413,0.5294117647058824,1.0,0.6923076923076923,0.6655653167618867
