pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
191,20,cosine,distance,0.8762146892655368,1.0,0.17777777777777776,0.2927272727272727,0.3834954854485311,0.6099759889899622
215,20,cosine,distance,0.8762146892655368,1.0,0.17777777777777776,0.2927272727272727,0.3834954854485311,0.6099760331672286
167,3,euclidean,uniform,0.859491525423729,0.7142857142857142,0.17777777777777776,0.25272727272727274,0.2823568160220261,0.6099760774816065
191,3,euclidean,uniform,0.862824858757062,0.7476190476190475,0.2,0.2830303030303031,0.3123441468052297,0.6099761276488355
215,3,euclidean,uniform,0.862824858757062,0.7476190476190475,0.2,0.2830303030303031,0.3123441468052297,0.6099761741906421
167,3,euclidean,distance,0.8895480225988701,0.8933333333333333,0.31111111111111106,0.4440293040293041,0.4744127037188989,0.6099762193411347
191,3,euclidean,distance,0.8928813559322034,0.8933333333333333,0.3333333333333333,0.46380952380952384,0.4907190141758832,0.6099762674180588
215,3,euclidean,distance,0.8928813559322034,0.8933333333333333,0.3333333333333333,0.46380952380952384,0.4907190141758832,0.609976316193986
167,5,euclidean,uniform,0.8696045197740114,0.8333333333333333,0.17777777777777778,0.28848484848484846,0.34148760717413246,0.6099763641304403
191,5,euclidean,uniform,0.8696045197740114,0.8333333333333333,0.17777777777777778,0.28848484848484846,0.34148760717413246,0.6099764120668947
215,5,euclidean,uniform,0.8696045197740114,0.8333333333333333,0.17777777777777778,0.28848484848484846,0.34148760717413246,0.6099764595886316
167,5,euclidean,distance,0.8963276836158192,1.0,0.3111111111111111,0.4685314685314685,0.5223918123760135,0.6099765076655558
191,5,euclidean,distance,0.8963276836158192,1.0,0.3111111111111111,0.4685314685314685,0.5223918123760135,0.6099765628494965
215,5,euclidean,distance,0.8963276836158192,1.0,0.3111111111111111,0.4685314685314685,0.5223918123760135,0.6099766073009985
167,7,euclidean,uniform,0.8628813559322035,0.8,0.11111111111111112,0.18545454545454546,0.22777771865394958,0.6099766521739096
191,7,euclidean,uniform,0.8628813559322035,0.8,0.11111111111111112,0.18545454545454546,0.22777771865394958,0.6099766978829475
215,7,euclidean,uniform,0.8628813559322035,0.8,0.11111111111111112,0.18545454545454546,0.22777771865394958,0.6099767427525128
167,7,euclidean,distance,0.886271186440678,1.0,0.24444444444444446,0.39090909090909093,0.46275188681331486,0.6099767874849542
191,7,euclidean,distance,0.886271186440678,1.0,0.24444444444444446,0.39090909090909093,0.46275188681331486,0.6099768322173956
215,7,euclidean,distance,0.886271186440678,1.0,0.24444444444444446,0.39090909090909093,0.46275188681331486,0.6099768777859516
167,9,euclidean,uniform,0.8561581920903955,0.8,0.06666666666666667,0.11272727272727275,0.1394529274518665,0.6099769233545198
191,9,euclidean,uniform,0.8561581920903955,0.8,0.06666666666666667,0.11272727272727275,0.1394529274518665,0.609976968785952
