C,kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.1,sigmoid,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
0.1,sigmoid,2,0.2,0.7833333333333333,0.0,0.0,0.0,-0.10259783520851541
0.1,sigmoid,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,sigmoid,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
