eta,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,5,50,5,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,1,0.1,0.4918032786885246,0.23076923076923078,0.9,0.3673469387755102,0.24036342975339167
0.01,5,100,1,0.2,0.819672131147541,0.4444444444444444,0.4,0.42105263157894735,0.3152192317563229
0.01,5,100,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
0.01,5,100,1,0.4,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,5,100,1,0.5,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
0.01,5,100,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,100,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,100,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,100,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,100,2,0.1,0.5666666666666667,0.2777777777777778,1.0,0.43478260869565216,0.3651483716701107
0.01,5,100,2,0.2,0.8166666666666667,0.47058823529411764,0.8,0.5925925925925926,0.5127645625236082
0.01,5,100,2,0.30000000000000004,0.8333333333333334,0.5,0.5,0.5,0.4
0.01,5,100,2,0.4,0.8666666666666667,0.6666666666666666,0.4,0.5,0.4472135954999579
0.01,5,100,2,0.5,0.9,1.0,0.4,0.5714285714285714,0.5976143046671968
0.01,5,100,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,100,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,100,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,100,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,100,3,0.1,0.48333333333333334,0.21052631578947367,0.8888888888888888,0.3404255319148936,0.22277661714472866
0.01,5,100,3,0.2,0.8333333333333334,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5120196528544808
0.01,5,100,3,0.30000000000000004,0.85,0.5,0.5555555555555556,0.5263157894736842,0.4383570037596047
0.01,5,100,3,0.4,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
0.01,5,100,3,0.5,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.01,5,100,3,0.6,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,5,100,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.1,0.5333333333333333,0.24324324324324326,1.0,0.391304347826087,0.3312067831843801
0.01,5,100,4,0.2,0.8666666666666667,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5721576125703091
0.01,5,100,4,0.30000000000000004,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
0.01,5,100,4,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,100,4,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,100,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,5,0.1,0.6166666666666667,0.26666666666666666,0.8888888888888888,0.41025641025641024,0.3267320196065356
0.01,5,100,5,0.2,0.7833333333333333,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.32003683870283267
0.01,5,100,5,0.30000000000000004,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,5,100,5,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,100,5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,100,5,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,100,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,200,1,0.1,0.7377049180327869,0.3333333333333333,0.6,0.42857142857142855,0.2960447582039059
0.01,5,200,1,0.2,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
0.01,5,200,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
0.01,5,200,1,0.4,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,5,200,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,5,200,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,5,200,1,0.7000000000000001,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
0.01,5,200,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,200,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,200,2,0.1,0.7,0.3333333333333333,0.8,0.47058823529411764,0.3651483716701107
0.01,5,200,2,0.2,0.8333333333333334,0.5,0.8,0.6153846153846154,0.5393598899705937
0.01,5,200,2,0.30000000000000004,0.8333333333333334,0.5,0.6,0.5454545454545454,0.447213595499958
0.01,5,200,2,0.4,0.8833333333333333,0.7142857142857143,0.5,0.5882352941176471,0.5340179792444579
0.01,5,200,2,0.5,0.9,1.0,0.4,0.5714285714285714,0.5976143046671968
0.01,5,200,2,0.6,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
0.01,5,200,2,0.7000000000000001,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
0.01,5,200,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,200,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,200,3,0.1,0.7166666666666667,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.4192187636816883
0.01,5,200,3,0.2,0.85,0.5,0.7777777777777778,0.6086956521739131,0.5407518998772
0.01,5,200,3,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,5,200,3,0.4,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
0.01,5,200,3,0.5,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.01,5,200,3,0.6,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,200,3,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,5,200,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,200,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,200,4,0.1,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
0.01,5,200,4,0.2,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375
0.01,5,200,4,0.30000000000000004,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
0.01,5,200,4,0.4,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
