criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,100,10,10,sqrt,0.7874587458745875,0.21428571428571427,0.14722222222222223,0.1691919191919192,0.058575987474699776,0.0008943952092993889
gini,100,2,1,log2,0.813927392739274,0.4144736842105263,0.44722222222222224,0.42892156862745096,0.31941175033285646,0.0008943952092993889
gini,100,5,1,log2,0.8437293729372937,0.5095238095238096,0.3625,0.41998231653404067,0.34156219530717596,0.0008943952092993889
gini,100,10,1,log2,0.8238613861386138,0.4375,0.27777777777777773,0.3266411008346492,0.24768249977570025,0.0008943952092993889
gini,100,2,2,log2,0.8372277227722772,0.49318181818181817,0.3416666666666666,0.39567901234567904,0.3172274359218173,0.0008943952092993889
gini,100,5,2,log2,0.7907260726072608,0.28273809523809523,0.23194444444444443,0.25102657004830914,0.13466236224913347,0.0008943952092993889
gini,100,10,2,log2,0.8239933993399341,0.41944444444444445,0.25555555555555554,0.31457739791073125,0.23072310353754574,0.0008943952092993889
gini,100,2,5,log2,0.8105940594059406,0.18614718614718614,0.10833333333333334,0.13489409141583056,0.051082051809789086,0.0008943952092993889
gini,100,5,5,log2,0.8040594059405941,0.35185185185185186,0.3194444444444444,0.3321402635128125,0.2201336907307796,0.0008943952092993889
gini,100,10,5,log2,0.833993399339934,0.48214285714285715,0.27638888888888885,0.3371212121212121,0.27182090546996734,0.0008943952092993889
gini,100,2,10,log2,0.7740924092409242,0.19259259259259257,0.12916666666666668,0.15301075268817205,0.03013006731360447,0.0008943952092993889
gini,100,5,10,log2,0.8205610561056105,0.38827838827838823,0.21388888888888888,0.2691511387163561,0.19120234593900776,0.0008943952092993889
gini,100,10,10,log2,0.8038613861386139,0.26666666666666666,0.19583333333333333,0.20519480519480518,0.11868693235375949,0.0008943952092993889
gini,300,2,1,None,0.8139603960396039,0.39544159544159546,0.29583333333333334,0.3337941628264209,0.23436018649316467,0.0008943952092993889
gini,300,5,1,None,0.8205940594059405,0.43915343915343913,0.3625,0.3878787878787879,0.2922264147583862,0.0008943952092993889
gini,300,10,1,None,0.823927392739274,0.43915343915343913,0.34027777777777773,0.37777777777777777,0.28393660317419334,0.0008943952092993889
