pca_n_components,learning_rate,max_depth,n_estimators,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,0.5,10,200,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.137431264930557
180,0.01,3,100,0.857652752571083,0.012696393780321365,1.0,0.0,0.08888888888888888,0.08314794192830981,0.15272727272727274,0.13827747884968394,0.21163439033849324,0.17942968486340624,3.1374312986111668
180,0.01,3,150,0.8680580762250454,0.017558872938629046,1.0,0.0,0.15555555555555553,0.11331154474650632,0.2527272727272727,0.1690420261697376,0.32059980337392757,0.18316254296714757,3.137431329166753
180,0.01,3,200,0.8680580762250454,0.017558872938629046,1.0,0.0,0.15555555555555553,0.11331154474650632,0.2527272727272727,0.1690420261697376,0.32059980337392757,0.18316254296714757,3.137431361111238
180,0.01,5,100,0.868118572292801,0.01723129368250878,1.0,0.0,0.15555555555555553,0.11331154474650632,0.25272727272727274,0.1690420261697376,0.32059077114038864,0.18308642356967406,3.1374313913195997
180,0.01,5,150,0.8715668481548701,0.020534472134133612,1.0,0.0,0.17777777777777776,0.13333333333333333,0.27999999999999997,0.19390719429665315,0.34138891295418217,0.20064331948244746,3.137431423611108
180,0.01,5,200,0.8750151240169389,0.016876559733006863,1.0,0.0,0.2,0.10886621079036347,0.31999999999999995,0.14696938456699069,0.40320042295055086,0.11548534241896882,3.137431453472244
180,0.01,7,100,0.864670296430732,0.019652005844058733,1.0,0.0,0.13333333333333336,0.12957670877434,0.21272727272727274,0.197973201291872,0.25877926114401995,0.2241184088769201,3.13743148541673
180,0.01,7,150,0.8715668481548701,0.020534472134133612,1.0,0.0,0.17777777777777776,0.13333333333333333,0.27999999999999997,0.19390719429665315,0.34138891295418217,0.20064331948244746,3.1374315180556653
180,0.01,7,200,0.8750151240169389,0.016876559733006863,1.0,0.0,0.2,0.10886621079036347,0.31999999999999995,0.14696938456699069,0.40320042295055086,0.11548534241896882,3.1374315496529257
180,0.01,10,100,0.864670296430732,0.019652005844058733,1.0,0.0,0.13333333333333336,0.12957670877434,0.21272727272727274,0.197973201291872,0.25877926114401995,0.2241184088769201,3.1374315809027595
180,0.01,10,150,0.8715668481548701,0.020534472134133612,1.0,0.0,0.17777777777777776,0.13333333333333333,0.27999999999999997,0.19390719429665315,0.34138891295418217,0.20064331948244746,3.137431613541695
180,0.01,10,200,0.8750151240169389,0.016876559733006863,1.0,0.0,0.2,0.10886621079036347,0.31999999999999995,0.14696938456699069,0.40320042295055086,0.11548534241896882,3.1374316454861804
180,0.1,3,100,0.8923169993950394,0.013288495242884966,1.0,0.0,0.31111111111111106,0.08314794192830981,0.4685314685314686,0.09544878181323631,0.5211354538073293,0.07352714688458324,3.137431677083441
180,0.1,3,150,0.8957047791893527,0.016373548798726368,0.95,0.09999999999999999,0.3555555555555555,0.08314794192830981,0.5111888111888112,0.09599541938963481,0.5403064152968613,0.08583237443263514,3.137431705555678
180,0.1,3,200,0.9026618269812461,0.018317825717760798,1.0,0.0,0.37777777777777777,0.11331154474650634,0.5386613386613387,0.11862000050689164,0.5762792706997648,0.09341885619684398,3.137431739930536
180,0.1,5,100,0.8853599516031458,0.018058861542182197,0.9333333333333333,0.13333333333333336,0.28888888888888886,0.08888888888888889,0.4351981351981352,0.10703743408814105,0.47803354646927154,0.10397143904579591,3.1374317711805713
180,0.1,5,150,0.8921960072595281,0.02114820010267066,0.8833333333333334,0.1452966314513558,0.3555555555555555,0.08314794192830981,0.5051282051282052,0.10559620657422567,0.5180026497725971,0.11753405203851264,3.137431806250081
180,0.1,5,200,0.8991530550514216,0.023738521317846914,0.9333333333333333,0.13333333333333336,0.37777777777777777,0.11331154474650634,0.5326007326007327,0.12782465784163075,0.5539755051755006,0.12953300677921278,3.1374318378473416
180,0.1,7,100,0.8853599516031458,0.018058861542182197,0.9333333333333333,0.13333333333333336,0.28888888888888886,0.08888888888888889,0.4351981351981352,0.10703743408814105,0.47803354646927154,0.10397143904579591,3.137431872222199
180,0.1,7,150,0.8852389594676346,0.024480808527696036,0.85,0.2,0.3111111111111111,0.10886621079036347,0.45174825174825173,0.14449319207701186,0.46998990938054835,0.15734307590655647,3.137431906597259
180,0.1,7,200,0.8887477313974592,0.02433295936420238,0.9,0.2,0.3111111111111111,0.10886621079036347,0.4594405594405594,0.14582725245746714,0.48963781677762064,0.15925419239031083,3.137431938888969
180,0.1,10,100,0.8853599516031458,0.018058861542182197,0.9333333333333333,0.13333333333333336,0.28888888888888886,0.08888888888888889,0.4351981351981352,0.10703743408814105,0.47803354646927154,0.10397143904579591,3.137431969444555
180,0.1,10,150,0.8852389594676346,0.024480808527696036,0.85,0.2,0.3111111111111111,0.10886621079036347,0.45174825174825173,0.14449319207701186,0.46998990938054835,0.15734307590655647,3.137432005902762
180,0.1,10,200,0.8887477313974592,0.02433295936420238,0.9,0.2,0.3111111111111111,0.10886621079036347,0.4594405594405594,0.14582725245746714,0.48963781677762064,0.15925419239031083,3.1374320371527977
180,0.3,3,100,0.8990320629159104,0.03276653784707078,0.8533333333333333,0.18086213288334052,0.4222222222222222,0.12957670877434005,0.5611721611721612,0.15447976970663388,0.5546470312379197,0.168450971831626,3.1374320694445084
180,0.3,3,150,0.8990320629159104,0.03276653784707078,0.8533333333333333,0.18086213288334052,0.4222222222222222,0.12957670877434005,0.5611721611721612,0.15447976970663388,0.5546470312379197,0.168450971831626,3.1374321024306684
180,0.3,3,200,0.8990320629159104,0.03276653784707078,0.8533333333333333,0.18086213288334052,0.4222222222222222,0.12957670877434005,0.5611721611721612,0.15447976970663388,0.5546470312379197,0.168450971831626,3.137432136458503
180,0.3,5,100,0.9061705989110708,0.023811485890482348,0.9714285714285715,0.05714285714285716,0.4222222222222222,0.1777777777777778,0.5613886113886115,0.16737936038706372,0.5901478262190054,0.12575751751415803,3.137432169791686
