n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
100,10,5,1,entropy,0.979841518634622,0.9801936251129342,0.979841518634622,0.9798362499971353,0.0012906522842506443
300,10,5,1,entropy,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
500,10,5,1,entropy,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
10,10,2,2,entropy,0.9510001492760113,0.9510921727692468,0.9510001492760113,0.9509985405787506,0.0012906522842506443
50,10,2,2,entropy,0.9740695128626163,0.9741860147213718,0.9740695128626163,0.9740675604122103,0.0012906522842506443
100,10,2,2,entropy,0.9769617355824253,0.9770078766510525,0.9769617355824253,0.9769608813087074,0.0012906522842506443
300,10,2,2,entropy,0.9827213016868189,0.9831696103110438,0.9827213016868189,0.9827153696430035,0.0012906522842506443
500,10,2,2,entropy,0.9827275215206249,0.9830803706401792,0.9827275215206249,0.9827225774509483,0.0012906522842506443
10,10,5,2,entropy,0.965442603373638,0.9656783904492846,0.965442603373638,0.9654393577563573,0.0012906522842506443
50,10,5,2,entropy,0.9783985171916206,0.9788104690651429,0.9783985171916206,0.9783928699646819,0.0012906522842506443
