pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
150,0.01,poly,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
150,0.01,poly,3,0.2,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.4,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.5,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,3,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
150,0.01,poly,4,0.2,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.4,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.5,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,4,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
150,0.01,poly,5,0.2,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.4,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.5,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,poly,5,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,1,0.1,0.4262295081967213,0.1951219512195122,0.8,0.3137254901960784,0.12061535195691343
150,0.01,sigmoid,1,0.2,0.819672131147541,0.46153846153846156,0.6,0.5217391304347826,0.41834503598132505
150,0.01,sigmoid,1,0.30000000000000004,0.8852459016393442,0.6666666666666666,0.6,0.631578947368421,0.5649383634074359
150,0.01,sigmoid,1,0.4,0.8688524590163934,0.625,0.5,0.5555555555555556,0.4838541850227607
150,0.01,sigmoid,1,0.5,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
150,0.01,sigmoid,1,0.6,0.8360655737704918,0.5,0.1,0.16666666666666666,0.1671312898965338
150,0.01,sigmoid,1,0.7000000000000001,0.8360655737704918,0.5,0.1,0.16666666666666666,0.1671312898965338
150,0.01,sigmoid,1,0.8,0.8360655737704918,0.5,0.1,0.16666666666666666,0.1671312898965338
150,0.01,sigmoid,1,0.9,0.819672131147541,0.0,0.0,0.0,-0.05716619504750294
150,0.01,sigmoid,2,0.1,0.23333333333333334,0.17857142857142858,1.0,0.30303030303030304,0.11952286093343936
150,0.01,sigmoid,2,0.2,0.8,0.25,0.1,0.14285714285714285,0.05976143046671968
150,0.01,sigmoid,2,0.30000000000000004,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,0.01,sigmoid,2,0.4,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
150,0.01,sigmoid,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,sigmoid,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,sigmoid,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,sigmoid,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,sigmoid,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,sigmoid,3,0.1,0.2833333333333333,0.17307692307692307,1.0,0.29508196721311475,0.1647705109143269
150,0.01,sigmoid,3,0.2,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11779030380392652
150,0.01,sigmoid,3,0.30000000000000004,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11779030380392652
150,0.01,sigmoid,3,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,sigmoid,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,sigmoid,3,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,3,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,3,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.1,0.16666666666666666,0.15254237288135594,1.0,0.2647058823529412,0.054690281762322934
150,0.01,sigmoid,4,0.2,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
150,0.01,sigmoid,4,0.30000000000000004,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,sigmoid,4,0.4,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.5,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,4,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,sigmoid,5,0.1,0.26666666666666666,0.14285714285714285,0.7777777777777778,0.2413793103448276,-0.04222003309207491
