pca__n_components,svm__C,svm__kernel,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
150,0.01,sigmoid,0.30000000000000004,0.8436781609195402,0.013311540782381306,0.6333333333333333,0.4149966532662911,0.06666666666666667,0.09938079899999065,0.10303030303030303,0.15090787391501492,0.09019562448171226,0.16088568686408333
150,0.01,sigmoid,0.4,0.8402298850574713,0.008837914412345254,0.6,0.4183300132670378,0.04444444444444444,0.06085806194501846,0.07272727272727272,0.09958591954639384,0.060205187596519084,0.11138489228858656
150,0.01,sigmoid,0.5,0.8437386569872958,0.012494671605488377,0.7,0.4472135954999579,0.04444444444444444,0.06085806194501846,0.07636363636363637,0.1047626202973668,0.08614520521474914,0.15319533083720574
150,0.01,sigmoid,0.6,0.8437991530550514,0.011391507546808332,0.8,0.4472135954999579,0.02222222222222222,0.04969039949999532,0.04,0.08944271909999159,0.05036820549570782,0.1464374065787258
150,0.01,sigmoid,0.7000000000000001,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,sigmoid,0.8,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,sigmoid,0.9,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.1,linear,0.1,0.7016938898971568,0.08204285030323628,0.33526960784313725,0.07112365447767101,0.8444444444444444,0.1266861583443487,0.4755389830242647,0.07698312209005552,0.3922191616459728,0.10425811752239666
150,0.1,linear,0.2,0.8957652752571083,0.012963673549646844,0.6701298701298701,0.027954777993009456,0.6666666666666666,0.17568209223157658,0.6573809523809524,0.0855338709746041,0.6038628319026588,0.08942320165637585
150,0.1,linear,0.30000000000000004,0.8958257713248639,0.04280102137880672,0.7642857142857142,0.23364896048280182,0.4888888888888888,0.18592445034090568,0.58579185520362,0.1909726349142505,0.5535961439273891,0.21099733905214368
