learning_rate,max_depth,n_estimators,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
0.3,7,300,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
0.3,10,100,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
0.3,10,200,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
0.3,10,300,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
0.3,5,100,0.2,0.883661202,0.661111111,0.573333333,0.603383838,0.544701765
0.5,7,50,0.3,0.893770492,0.717272727,0.555555556,0.599900203,0.562704514
0.5,10,50,0.3,0.893770492,0.717272727,0.555555556,0.599900203,0.562704514
0.1,7,200,0.2,0.876994536,0.641666667,0.595555556,0.599313725,0.540304199
0.1,10,200,0.2,0.876994536,0.641666667,0.595555556,0.599313725,0.540304199
0.5,5,50,0.2,0.883715847,0.669440559,0.6,0.598714619,0.554971599
0.1,5,50,0.2,0.873770492,0.601410256,0.637777778,0.598690199,0.539298732
0.5,5,100,0.1,0.870491803,0.566422466,0.662222222,0.598513675,0.533215146
0.5,5,200,0.1,0.870491803,0.566422466,0.662222222,0.598513675,0.533215146
0.5,5,300,0.1,0.870491803,0.566422466,0.662222222,0.598513675,0.533215146
0.1,7,100,0.3,0.883661202,0.658225108,0.573333333,0.598333333,0.542476924
0.1,10,100,0.3,0.883661202,0.658225108,0.573333333,0.598333333,0.542476924
0.5,7,100,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.5,7,200,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.5,7,300,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.5,10,100,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.5,10,200,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.5,10,300,0.2,0.887103825,0.67974359,0.6,0.598117672,0.560353044
0.3,5,200,0.2,0.880327869,0.65,0.573333333,0.597535885,0.536948329
0.3,5,300,0.2,0.880327869,0.65,0.573333333,0.597535885,0.536948329
0.1,7,50,0.2,0.86715847,0.585470085,0.637777778,0.595612808,0.528351627
0.1,10,50,0.2,0.86715847,0.585470085,0.637777778,0.595612808,0.528351627
0.3,3,50,0.4,0.896994536,0.783333333,0.508888889,0.594212454,0.568807064
0.3,7,100,0.1,0.870382514,0.586796537,0.637777778,0.594057315,0.530693781
0.3,10,100,0.1,0.870382514,0.586796537,0.637777778,0.594057315,0.530693781
0.5,5,50,0.3,0.893770492,0.723333333,0.535555556,0.592882659,0.555995196
0.5,5,100,0.3,0.893770492,0.727272727,0.535555556,0.592531782,0.557366275
0.5,5,200,0.3,0.893770492,0.727272727,0.535555556,0.592531782,0.557366275
0.5,5,300,0.3,0.893770492,0.727272727,0.535555556,0.592531782,0.557366275
0.5,7,100,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.5,7,200,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.5,7,300,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.5,10,100,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.5,10,200,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.5,10,300,0.3,0.890437158,0.704545455,0.555555556,0.592531782,0.554007842
0.3,3,200,0.3,0.890273224,0.713333333,0.528888889,0.592030075,0.548140483
0.3,3,300,0.3,0.890273224,0.713333333,0.528888889,0.592030075,0.548140483
0.3,7,100,0.4,0.893606557,0.75,0.508888889,0.591956815,0.555530793
0.3,10,100,0.4,0.893606557,0.75,0.508888889,0.591956815,0.555530793
0.3,5,50,0.4,0.896939891,0.759047619,0.506666667,0.59,0.559079796
0.1,3,100,0.3,0.886994536,0.709444444,0.531111111,0.589710551,0.543891841
0.3,3,100,0.4,0.893661202,0.77,0.508888889,0.58719491,0.559958809
0.1,7,100,0.4,0.893661202,0.756666667,0.511111111,0.586944284,0.556419807
0.1,10,100,0.4,0.893661202,0.756666667,0.511111111,0.586944284,0.556419807
0.1,5,100,0.1,0.857213115,0.534453782,0.68,0.586749482,0.516820237
0.1,3,100,0.1,0.850437158,0.527996915,0.7,0.586562173,0.517994548
0.1,3,200,0.4,0.890327869,0.74,0.511111111,0.585964912,0.548666487
0.1,3,300,0.4,0.890327869,0.74,0.511111111,0.585964912,0.548666487
0.5,5,50,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
0.5,5,100,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
0.5,5,200,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
0.5,5,300,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
