criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
entropy,None,5,1,log2,0.6333333333333334,0.6217948717948719,0.5555555555555556,0.562726396410607,0.2273004488888546
entropy,None,10,1,log2,0.788888888888889,0.7687012987012987,0.8444444444444444,0.7982706766917292,0.22730049444443365
entropy,None,2,2,log2,0.6444444444444445,0.7611111111111111,0.5333333333333333,0.5577045177045177,0.22730054222225185
entropy,None,5,2,log2,0.6555555555555556,0.7032478632478633,0.5777777777777777,0.5896372633214738,0.22730059000007005
entropy,None,10,2,log2,0.6333333333333334,0.5209523809523808,0.6444444444444444,0.572213141549526,0.2273006366667687
entropy,None,2,5,log2,0.6555555555555556,0.8250742721330957,0.5777777777777777,0.5140170940170941,0.22730068444442522
entropy,None,5,5,log2,0.5444444444444445,0.8321678321678322,0.31111111111111106,0.26545454545454544,0.22730073222224342
entropy,None,10,5,log2,0.611111111111111,0.7899999999999999,0.37777777777777777,0.4228571428571429,0.22730078111118118
entropy,None,2,10,log2,0.5777777777777777,0.8636363636363636,0.37777777777777777,0.308,0.22730082777787983
entropy,None,5,10,log2,0.5555555555555556,0.77,0.3777777777777777,0.35489075630252104,0.22730087222233933
entropy,None,10,10,log2,0.5333333333333334,0.8333333333333334,0.3111111111111111,0.26403508771929823,0.22730091555551754
entropy,10,2,1,None,0.8555555555555555,0.925,0.8,0.8422268907563026,0.22730096222221619
entropy,10,5,1,None,0.8555555555555555,0.9053030303030305,0.8,0.8412745098039217,0.22730101111115397
entropy,10,10,1,None,0.8666666666666666,0.9164141414141416,0.8222222222222222,0.8535760971055089,0.22730105555561345
entropy,10,2,2,None,0.8333333333333334,0.8619841269841271,0.7999999999999999,0.8269177846577227,0.22730110333343165
entropy,10,5,2,None,0.8222222222222223,0.8572222222222223,0.7777777777777778,0.8102511179910561,0.22730124888896372
entropy,10,10,2,None,0.8444444444444444,0.9016666666666667,0.7777777777777778,0.8296955624355006,0.22730129777773983
entropy,10,2,5,None,0.8777777777777779,0.9305555555555556,0.8222222222222222,0.8684967320261437,0.22730134777779717
entropy,10,5,5,None,0.8000000000000002,0.8055555555555556,0.8,0.7975723622782446,0.2273013944444958
entropy,10,10,5,None,0.8555555555555555,0.8800000000000001,0.8222222222222222,0.848297213622291,0.22730144111119444
entropy,10,2,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.22730148999997052
entropy,10,5,10,None,0.8444444444444444,0.8202020202020203,0.888888888888889,0.8511111111111112,0.22730153777778872
entropy,10,10,10,None,0.8444444444444444,0.8202020202020203,0.888888888888889,0.8511111111111112,0.22730158444448736
entropy,10,2,1,sqrt,0.8555555555555555,0.8984126984126984,0.8,0.8437908496732026,0.22730163222230557
entropy,10,5,1,sqrt,0.7444444444444445,0.7578571428571429,0.6888888888888889,0.7122622733303847,0.22730167555564548
entropy,10,10,1,sqrt,0.711111111111111,0.7721212121212122,0.6222222222222222,0.6742857142857143,0.22730172111122454
entropy,10,2,2,sqrt,0.7333333333333334,0.7527777777777778,0.711111111111111,0.7223155929038282,0.2273017677777615
entropy,10,5,2,sqrt,0.7555555555555555,0.8099999999999999,0.6888888888888889,0.7294117647058824,0.22730181333334057
entropy,10,10,2,sqrt,0.788888888888889,0.8386363636363636,0.7555555555555554,0.7573109243697479,0.22730186000003919
entropy,10,2,5,sqrt,0.7444444444444445,0.7642063492063492,0.711111111111111,0.7339697282421741,0.22730190555561824
entropy,10,5,5,sqrt,0.788888888888889,0.8388888888888889,0.7555555555555555,0.7781746031746032,0.2273019511111973
entropy,10,10,5,sqrt,0.7555555555555555,0.8136363636363637,0.6888888888888889,0.725687748783724,0.2273019966667764
entropy,10,2,10,sqrt,0.6222222222222223,0.6114285714285714,0.6444444444444444,0.6002351195715041,0.2273020411110742
entropy,10,5,10,sqrt,0.7666666666666666,0.7582972582972584,0.7777777777777777,0.7618954248366012,0.2273020877777728
entropy,10,10,10,sqrt,0.5888888888888888,0.5598268398268399,0.6,0.5722681704260651,0.22730213444447145
entropy,10,2,1,log2,0.788888888888889,0.86,0.7555555555555555,0.7262781954887219,0.2273021800000505
entropy,10,5,1,log2,0.7333333333333333,0.726089466089466,0.7777777777777777,0.745484544695071,0.22730222333339042
entropy,10,10,1,log2,0.5888888888888888,0.63,0.5333333333333334,0.5146961733918256,0.22730227000008907
entropy,10,2,2,log2,0.6888888888888889,0.6597313797313797,0.7777777777777778,0.7054047338372281,0.22730231444454854
entropy,10,5,2,log2,0.6111111111111112,0.6648076923076923,0.6222222222222221,0.6073766233766233,0.22730235888900804
entropy,10,10,2,log2,0.5777777777777777,0.8,0.31111111111111106,0.365034965034965,0.22730240444442543
entropy,10,2,5,log2,0.5333333333333333,0.8274509803921568,0.28888888888888886,0.2897435897435897,0.22730244777776534
entropy,10,5,5,log2,0.5888888888888889,0.8833333333333334,0.2666666666666667,0.27809523809523806,0.22730249555558354
entropy,10,10,5,log2,0.6666666666666667,0.8195187165775402,0.6222222222222222,0.5298901098901099,0.2273025411111626
entropy,10,2,10,log2,0.5111111111111111,0.9111111111111111,0.11111111111111112,0.11111111111111112,0.22730258777786125
entropy,10,5,10,log2,0.6222222222222222,0.9214285714285715,0.3333333333333333,0.32142857142857145,0.22730263444455986
entropy,10,10,10,log2,0.6222222222222222,0.9384615384615385,0.3333333333333333,0.3236363636363636,0.22730267999997725
entropy,30,2,1,None,0.8333333333333334,0.860858585858586,0.8,0.8218300653594772,0.22730272777779545
entropy,30,5,1,None,0.8333333333333334,0.8766666666666667,0.7777777777777778,0.8194014447884417,0.22730277111113537
entropy,30,10,1,None,0.8666666666666666,0.9100649350649352,0.8222222222222222,0.8579411764705881,0.22730281888895357
entropy,30,2,2,None,0.8444444444444444,0.8714285714285716,0.8222222222222222,0.8390756302521009,0.2273028655556522
entropy,30,5,2,None,0.8444444444444444,0.8941919191919192,0.8,0.8313538748832867,0.22730291777778702
entropy,30,10,2,None,0.8555555555555555,0.8941919191919192,0.8222222222222222,0.8484967320261438,0.2273029622222465
entropy,30,2,5,None,0.8111111111111111,0.819017094017094,0.8222222222222222,0.8133095662507428,0.2273030100000647
entropy,30,5,5,None,0.8666666666666668,0.905,0.8222222222222222,0.8585913312693499,0.22730305666676334
entropy,30,10,5,None,0.8444444444444444,0.8638888888888889,0.8222222222222222,0.8418300653594771,0.22730310111122284
entropy,30,2,10,None,0.8444444444444444,0.8202020202020203,0.888888888888889,0.8511111111111112,0.22730317555558738
entropy,30,5,10,None,0.8555555555555555,0.8224242424242425,0.9111111111111111,0.8628070175438596,0.22730324555563533
entropy,30,10,10,None,0.8333333333333334,0.7924242424242424,0.9111111111111111,0.8447619047619048,0.2273032944444114
entropy,30,2,1,sqrt,0.7444444444444446,0.735,0.711111111111111,0.7104548702071922,0.22730334111111006
entropy,30,5,1,sqrt,0.8,0.8464285714285713,0.7333333333333333,0.7813725490196078,0.22730338555556956
entropy,30,10,1,sqrt,0.788888888888889,0.7622727272727273,0.8444444444444444,0.7983900928792569,0.22730343333338776
entropy,30,2,2,sqrt,0.788888888888889,0.8353174603174602,0.7333333333333332,0.7785947712418301,0.22730348000008638
entropy,30,5,2,sqrt,0.8222222222222222,0.8432234432234431,0.8222222222222222,0.8219696969696969,0.2273035288888625
entropy,30,10,2,sqrt,0.7555555555555555,0.8155555555555555,0.6888888888888889,0.7253034547152195,0.22730357333332196
entropy,30,2,5,sqrt,0.7444444444444445,0.7614285714285713,0.7555555555555555,0.7490601503759399,0.22730362111114016
entropy,30,5,5,sqrt,0.7222222222222222,0.9083333333333334,0.5333333333333333,0.6307664884135472,0.22730366666671922
entropy,30,10,5,sqrt,0.8,0.8503030303030303,0.7555555555555555,0.7896491228070175,0.2273037122222983
entropy,30,2,10,sqrt,0.6222222222222222,0.7428571428571429,0.4666666666666666,0.49833333333333335,0.22730375444451864
entropy,30,5,10,sqrt,0.611111111111111,0.5575524475524476,0.6222222222222222,0.5693506493506494,0.22730380222233684
entropy,30,10,10,sqrt,0.6555555555555557,0.6709523809523809,0.5555555555555556,0.5930094466936573,0.22730384888887378
entropy,30,2,1,log2,0.6444444444444445,0.7422222222222221,0.4666666666666666,0.5546031746031745,0.22730389888893116
entropy,30,5,1,log2,0.7,0.7721212121212122,0.5555555555555555,0.6291575091575092,0.22730394666674936
entropy,30,10,1,log2,0.8666666666666666,0.901010101010101,0.8444444444444443,0.8670261437908497,0.22730399000008927
entropy,30,2,2,log2,0.6888888888888889,0.698076923076923,0.6222222222222221,0.6288770053475936,0.22730403999998494
entropy,30,5,2,log2,0.6888888888888889,0.6793434343434342,0.6888888888888889,0.671297852474323,0.22730408666668356
entropy,30,10,2,log2,0.6111111111111112,0.6533333333333333,0.4666666666666667,0.4865144659262306,0.22730413111114306
entropy,30,2,5,log2,0.5444444444444445,0.833939393939394,0.3333333333333333,0.2733333333333333,0.22730417777784168
entropy,30,5,5,log2,0.5666666666666667,0.7416666666666667,0.5111111111111112,0.4570409982174688,0.22730422444454032
entropy,30,10,5,log2,0.5111111111111111,0.7666666666666667,0.24444444444444446,0.23406060606060608,0.22730427888891427
entropy,30,2,10,log2,0.5,0.9,0.08888888888888888,0.09411764705882353,0.22730432666673248
entropy,30,5,10,log2,0.48888888888888893,0.7,0.02222222222222222,0.03636363636363636,0.2273043700000724
entropy,30,10,10,log2,0.5,0.9,0.02222222222222222,0.03636363636363636,0.22730441555565145
entropy,50,2,1,None,0.8555555555555555,0.9136363636363637,0.8,0.8405042016806723,0.22730445666675222
entropy,50,5,1,None,0.8222222222222222,0.8286363636363637,0.8222222222222222,0.8214860681114551,0.22730450777776745
entropy,50,10,1,None,0.8111111111111112,0.8238888888888889,0.7999999999999999,0.8102511179910561,0.2273045544444661
entropy,50,2,2,None,0.8444444444444444,0.8656204906204907,0.8222222222222222,0.8384967320261438,0.22730460444452344
entropy,50,5,2,None,0.8444444444444444,0.9,0.8,0.8319327731092437,0.2273049466667645
entropy,50,10,2,None,0.8222222222222223,0.8572222222222223,0.7777777777777778,0.8102511179910561,0.227304983333387
entropy,50,2,5,None,0.8111111111111112,0.8234126984126984,0.8,0.8049253034547152,0.2273050200000095
entropy,50,5,5,None,0.8444444444444444,0.875,0.8222222222222222,0.8405462184873951,0.22730505888887112
entropy,50,10,5,None,0.8333333333333334,0.8438888888888888,0.8222222222222222,0.8313037495700035,0.22730509777789443
entropy,50,2,10,None,0.8333333333333334,0.7924242424242424,0.9111111111111111,0.8447619047619048,0.22730513777787564
entropy,50,5,10,None,0.8444444444444444,0.8202020202020203,0.888888888888889,0.8511111111111112,0.22730517555561772
entropy,50,10,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.2273052122222402
entropy,50,2,1,sqrt,0.8111111111111112,0.7866666666666666,0.8444444444444444,0.8140350877192981,0.2273052522222214
entropy,50,5,1,sqrt,0.8333333333333333,0.8714285714285716,0.7999999999999999,0.8258403361344537,0.227305287777886
entropy,50,10,1,sqrt,0.7444444444444445,0.7887012987012987,0.711111111111111,0.7385448916408668,0.22730532666674763
