pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
50,11,euclidean,uniform,0.6888888888888888,0.9166666666666666,0.4222222222222222,0.5642639206712433,0.4494657618540363,0.06327688777786938
57,11,euclidean,uniform,0.6777777777777777,0.8492063492063493,0.4222222222222222,0.5602453102453103,0.40814004197101356,0.0632769555555165
64,11,euclidean,uniform,nan,nan,nan,nan,nan,0.06327702555540277
50,11,euclidean,distance,0.7222222222222223,0.9166666666666666,0.48888888888888893,0.6310559006211179,0.5028727085881037,0.0632770644442644
57,11,euclidean,distance,0.7111111111111111,0.8630952380952381,0.48888888888888893,0.6210803689064559,0.4652689733083077,0.06327713333335447
64,11,euclidean,distance,nan,nan,nan,nan,nan,0.0632772044443603
50,15,euclidean,uniform,0.5666666666666668,0.7350427350427351,0.3111111111111111,0.4047619047619047,0.1890890931332104,0.06327729777775756
57,15,euclidean,uniform,0.5666666666666668,0.7350427350427351,0.3111111111111111,0.4047619047619047,0.1890890931332104,0.0632773688887634
64,15,euclidean,uniform,nan,nan,nan,nan,nan,0.06327744111121218
50,15,euclidean,distance,0.6444444444444444,0.8282828282828283,0.37777777777777777,0.4981042349463402,0.347699687216429,0.06327748000007381
57,15,euclidean,distance,0.6444444444444444,0.8282828282828283,0.37777777777777777,0.4981042349463402,0.347699687216429,0.06327754999996008
64,15,euclidean,distance,nan,nan,nan,nan,nan,0.06327761888872677
50,20,euclidean,uniform,0.5888888888888889,0.7857142857142857,0.24444444444444446,0.3631047315257841,0.24246284548429453,0.06327765999982754
57,20,euclidean,uniform,0.6,0.8333333333333334,0.24444444444444446,0.3717627401837928,0.27777777777777773,0.06327772888891761
64,20,euclidean,uniform,nan,nan,nan,nan,nan,0.06327779999992345
50,20,euclidean,distance,0.6444444444444444,0.8296296296296296,0.35555555555555557,0.4888888888888889,0.34861046393908834,0.06327783999990465
57,20,euclidean,distance,0.6666666666666666,0.8888888888888888,0.37777777777777777,0.5255348516218081,0.40563431710738396,0.06327790999979091
64,20,euclidean,distance,nan,nan,nan,nan,nan,0.06327798000000055
