eta,max_depth,dim,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
0.5,5,200,0.1,42.3,42.3,4.7,4.7,0.7488095238095238,0.73,0.7022222222222222,151008,0.24930777000263332,0.0028408904324382558
0.5,5,200,0.3,42.3,42.3,4.7,4.7,0.7983333333333332,0.7100000000000001,0.7333333333333333,151008,0.24218755999172573,0.002736269425260603
0.5,5,200,0.5,42.3,42.3,4.7,4.7,0.7488095238095237,0.6399999999999999,0.6888888888888889,151008,0.24488652000145525,0.002760990808356551
0.5,7,0,0.1,42.3,42.3,4.7,4.7,0.7804761904761904,0.73,0.73,2928897,0.6630370800005039,0.006359454111303296
0.5,7,0,0.3,42.3,42.3,4.7,4.7,0.7616666666666666,0.755,0.7388888888888889,379617,0.31873037000623294,0.003540819524734732
0.5,7,0,0.5,42.3,42.3,4.7,4.7,0.7300793650793651,0.785,0.71,164544,0.2608744899989689,0.002938398964522199
0.5,7,100,0.1,42.3,42.3,4.7,4.7,0.8214285714285714,0.6799999999999999,0.7188888888888888,75808,0.23415174998954172,0.0026708381939724796
0.5,7,100,0.3,42.3,42.3,4.7,4.7,0.7166666666666667,0.67,0.6777777777777778,75808,0.23490087000536733,0.0026688552482033545
0.5,7,100,0.5,42.3,42.3,4.7,4.7,0.7272222222222222,0.595,0.6677777777777777,75808,0.25760783000441734,0.002935025855933534
0.5,7,200,0.1,42.3,42.3,4.7,4.7,0.71,0.7,0.6900000000000001,151008,0.23332005999982358,0.002633570531724009
0.5,7,200,0.3,42.3,42.3,4.7,4.7,0.7841666666666667,0.7500000000000001,0.7444444444444445,151008,0.24037151000375162,0.002716695037912277
0.5,7,200,0.5,42.3,42.3,4.7,4.7,0.7188095238095238,0.65,0.671111111111111,151008,0.2352237299899571,0.0026587616832656194
