n_neighbors,weights,metric,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
11,uniform,cosine,0.7,0.850491803,1,0.042222222,0.076363636,0.120291838
11,distance,euclidean,0.8,0.850491803,1,0.042222222,0.076363636,0.120291838
15,distance,euclidean,0.7,0.850491803,1,0.042222222,0.076363636,0.120291838
20,uniform,cosine,0.6,0.850491803,1,0.042222222,0.076363636,0.120291838
20,distance,euclidean,0.6,0.850491803,1,0.042222222,0.076363636,0.120291838
7,uniform,cosine,0.8,0.847213115,1,0.022222222,0.04,0.061982319
9,distance,euclidean,0.9,0.84715847,1,0.02,0.036363636,0.058309519
11,uniform,cosine,0.8,0.84715847,1,0.02,0.036363636,0.058309519
15,uniform,cosine,0.7,0.84715847,1,0.02,0.036363636,0.058309519
15,distance,euclidean,0.8,0.84715847,1,0.02,0.036363636,0.058309519
20,distance,euclidean,0.7,0.84715847,1,0.02,0.036363636,0.058309519
5,uniform,cosine,0.9,0.843879781,1,0,0,0
7,uniform,cosine,0.9,0.843879781,1,0,0,0
7,uniform,euclidean,0.9,0.843879781,1,0,0,0
9,uniform,cosine,0.8,0.843879781,1,0,0,0
9,uniform,cosine,0.9,0.843879781,1,0,0,0
9,uniform,euclidean,0.8,0.843879781,1,0,0,0
9,uniform,euclidean,0.9,0.843879781,1,0,0,0
11,uniform,cosine,0.9,0.843879781,1,0,0,0
11,uniform,euclidean,0.8,0.843879781,1,0,0,0
11,uniform,euclidean,0.9,0.843879781,1,0,0,0
11,distance,euclidean,0.9,0.843879781,1,0,0,0
15,uniform,cosine,0.8,0.843879781,1,0,0,0
15,uniform,cosine,0.9,0.843879781,1,0,0,0
15,uniform,euclidean,0.7,0.843879781,1,0,0,0
15,uniform,euclidean,0.8,0.843879781,1,0,0,0
15,uniform,euclidean,0.9,0.843879781,1,0,0,0
15,distance,euclidean,0.9,0.843879781,1,0,0,0
20,uniform,cosine,0.7,0.843879781,1,0,0,0
20,uniform,cosine,0.8,0.843879781,1,0,0,0
20,uniform,cosine,0.9,0.843879781,1,0,0,0
20,uniform,euclidean,0.6,0.843879781,1,0,0,0
20,uniform,euclidean,0.7,0.843879781,1,0,0,0
20,uniform,euclidean,0.8,0.843879781,1,0,0,0
20,uniform,euclidean,0.9,0.843879781,1,0,0,0
20,distance,euclidean,0.8,0.843879781,1,0,0,0
20,distance,euclidean,0.9,0.843879781,1,0,0,0
